,0
0,InjuryMech_Assault
1,InjuryMech_BikeMV
2,InjuryMech_BikeCol
3,InjuryMech_FallStair
4,InjuryMech_FallElev
5,InjuryMech_FallToGround
6,InjuryMech_MVC
7,InjuryMech_ObjStruckHead
8,InjuryMech_Other
9,InjuryMech_OtherWheelCrash
10,InjuryMech_PedesMV
11,InjuryMech_Sports
12,InjuryMech_RanIntoStatObj
13,High_impact_InjSev_High
14,High_impact_InjSev_Low
15,High_impact_InjSev_Moderate
16,Amnesia_verb_0.0
17,Amnesia_verb_91.0
18,Amnesia_verb_1.0
19,LOCSeparate_No
20,LOCSeparate_Suspected
21,LOCSeparate_Yes
22,Seiz_1.0
23,ActNorm_1.0
24,HA_verb_0.0
25,HA_verb_91.0
26,HA_verb_1.0
27,Vomit_1.0
28,Intubated_1.0
29,Paralyzed_1.0
30,Sedated_1.0
31,AMS_1.0
32,SFxPalp_No
33,SFxPalp_Unclear
34,SFxPalp_Yes
35,FontBulg_1.0
36,Hema_1.0
37,Clav_1.0
38,NeuroD_1.0
39,OSI_1.0
40,Drugs_1.0
41,AgeTwoPlus
42,outcome
